message,target
can t win alone,0
buy more hearts rofl,0
no one ever gives up,0
tower ,0
too much brain,0
say one thing,0
why u guys so smell and poor country  ,2
i thougt we were friends ,0
basic,0
report void and qop,0
he is best shittalker au,1
cyka,2
why crying   ,0
really retard,1
got fucked by  k scrub,2
report sf ty,0
wahtthefc,1
id stick my cock so far up your ass,2
its a team game,0
mga tanga,2
oh crap ,0
any cores ,0
not with ursa,0
lobby  ,0
fk this,1
i dont understand whats happening,0
trash offlane,2
dont cry here too,0
seafood,0
cock and ball torture,1
end ur mother noob,2
i prefer to farm cock,1
we got more out of it,0
tang ina mo magquit kayo hahaha,2
yes sht counts,1
hello cringe shit,1
this shit lookin like a      nadcl lobby,1
what teh fuck,1
u happy now ,0
goated supports,0
tell sf his girlfriend ugly as shit,2
chain frost is really good btw,0
fucking trash,2
whore,2
maledick to small,1
fucking ape,1
hard to lose vs  ,0
basically playing ck with ck spells,0
youre playing a pussy hero and im free farming lol,1
i need to go,0
anime monkey chinese,2
whos scared now,0
one second i will bye blink and fuck your team,1
thats what you think,0
is pl supp ,0
sorry  what morons ,1
what a toxic cunt,2
was gonna report am,0
trash loser,2
taba contestando wasap,0
wow insane u can ultfor a brown boots underleveled slark,0
razor seems to be mad at me ,0
blink come but dunno ulti,0
full force,0
worthless bot,2
wait bro ill fuck u in dpc someday not just in pub,1
hello there,0
and cool bm,0
this ss is ass,2
we are coming ,0
i want your cold cunt,1
i fuck ur m other too tevhies,2
i hope hitler comes back and decides he hates chinese people instead,2
low shit eng,1
they cant stand   sec,0
stop it mother fuckers,1
he s noob anyway,1
fuck off,1
can we  end ,0
literally bad too lmfao,0
why her nose is so big,2
he nt coming back he bitching about the lane,1
this axe  not even once single time bot,0
yaaaaa we was baiting yr mom to sleep with yr mouse ,2
its my   k game,0
need pos  ,0
like it s annyoing when two assholes won t communicate,0
you guys are fkn shit man,1
or jungle walker,0
dumb fucking team,2
muted ,0
we dont have a  ,0
so we wait for you but not us ey ,0
wtf i can see ur tp,1
void you are really noob,2
in her asshole,2
i am sucking mega cock with pos  ,2
are u guys trash like the last team we faced ,1
good game  clothes,0
surely right,0
why so easy,0
valaky can weteam,0
carejua,0
asshole,2
he leave,0
carry or ruin   ,0
and raped,1
every match of dota,0
us east moment,0
rep bs ty,0
piece of shit,2
ok i micro snap and my hero,0
you pick me you arldy win this game,0
why mkb btw ,0
all the space still no impact,0
thats the issue,0
i got a brain dead player in here,2
wont change shit,1
is retard palyer xd,1
sell items ,0
gotta love playing with retards,2
for   core,0
nob team,2
profet,0
i wont play ,0
trashplayers,2
primal and od are foating  k collectivley,0
guys your base,0
fatally bonded,0
pugna  how copme you killed yoursefl,0
and the poison,0
tard timber,1
u bought   too though ,0
hydrate u lil pricks ,2
ready,0
okay final offer  invite me to discord and we ll  v  these losers,2
i always love that everygame i play against a   stack and have to put up with   russian retards,2
that mad,0
play with brain bro,0
fuck bort,2
trash ursa we have bro balance,2
they let am farm  they farm,0
basic game,0
hold on sunshine,0
report witch nobb,2
my girl ur nothing,0
mother fucker,2
fked up pos me and spec,1
that just happened,0
report the peruvians,0
first was on rune,0
what a transgression,0
is indian waiting for a comeback,0
please end ,0
g throne,0
piece of shit,2
if you try and talk the entire game to make friends  you are a loser  ,2
cause he is benig a whiny baby,0
couldnt possible be shit skill,1
cant win game,0
guys trust me report please,0
kil the support,0
throne,0
sea best carry,0
fucking hell,1
yeahhh this is fucked,1
you baby on lp,0
fair enough man,0
for my team copming bitch,1
with these retards,1
first time win loser   ,2
is fcking good,1
party with purpubl  ,0
sry he is tard,1
whip it out,0
facke inf,1
team is afk,0
fuck putin btw,1
ogre said he won the lane,0
have you guys won a fight ,0
wrong neighbourhood,0
ur mom is fuckin joke,2
go fuck yourself,2
and reach smth,0
fattest cock ever,1
a mid hero took the tome wtf,1
ty  ur noobness im now ancient,2
we are party,0
what the fuck is up with your phantom grimstroke,1
this is hearld you cringe fucker,2
go play minecraft matthew,0
clock,0
puidge asshol,2
noob slark cant fight carry xd,2
wtf is this root,1
cant we ,0
in yo head dumbass,2
what a timing,0
fk that hurts,1
is he an asset or liability ,0
win lane then useless,2
need supp players,0
shaker used echo,0
it could have worked ,0
any big cock lovers here,2
you guys are doing a good job at carrying me to a loss,0
eziest game in my life,0
i can but i need to train myself for pos ,0
your descendants would feel my dick in your ass,2
pick something different you sad fucks,1
greys two dads are coming to pick him up,0
typical ching chong cant talk anything ,2
fuck off,1
what was that about the push mk ,0
u need kills for arcana ,0
not enough,0
ty for win tech,0
first streamsnipe ban snap,0
legion get off my dick,2
after he got trashcanned,0
english mother fucker do you speak it,1
item,0
report mk pls,0
fuck off,1
bros hop off my cock,1
how did yall manage to lose this game,0
i dont have sex,1
thats crazy bro,0
i do wanna see the kukumancer  ,0
ez noobs in team,2
wr crash,0
stupid kotl dont know how to place ward  buying for next game,2
that  k ,0
win ,0
no pl u cant win,0
literally,0
who,0
i think im pretty intimidating ty ty,0
g throne we afk,0
you really fucked my game bro  wp rub,1
u r the loser we have win this so ez,2
and staying afk in base min   ,0
fkin scaredy cats,2
fuck this hero,1
  iq player,0
wrong chat,0
think oh i can predict pango talk shit,1
stop cry pa,0
no worry bro it ll be quick,0
erpotign my team,0
i eat pussy  does that count ,1
poor puck s throat got wide   ,2
some trash u and pudge,2
fuck it,1
end this shit,1
the bestr p a of cuba,0
what a pure chance hook,0
that is a joke srsly,0
dogshit players,2
this is rocket league ,0
       th pick riki,0
  v   but having a hard time idiots,1
it s just waisitng time,0
by peru supports,0
rus tresh xd,0
stfu seafood,1
with this mothjerfuck midlaner,1
but our cores were weak,0
me party with you smoke joint,0
g next,0
techies throwing hes in your triangle,0
impactless,0
learned to make it from your nigger mom,2
ur team canb win with out u,0
get screwed so badly,0
u party gamers are mega clowns,2
stupid ass herp lol,2
earlier,0
fuck u,2
pls not this hero    ,0
this is what happens when ur mid is shit,1
i have an am who got shit on line and now he s crying hahaha what a good team  pure shit in this media  how could i get so low ,1
see item  st diot,1
whats the animal that keeps shitting on my car then huh ,1
for all the time,0
eater,0
literally nothing,0
g next,0
neither are you,0
u can turn a fight immediately,0
what do u mean by that,0
can suck my dick,2
your life must be so sad,0
he say stfu,1
party with midgod,0
thug doto   ,0
report this retard luna,2
what the fck are u doing,1
no uts ok veno did shit play we had this situation from the start,1
then he cries,0
ssaid im noob tinker but u scared,1
that,0
ask your chingchong friend,2
he hates me because of his first death,0
did you open the shit out of it ,1
imma throw this shit for u,1
manners is me inside ur mother,2
certainly didnt take losing very well,0
how u to bee ind g orcle  ,2
watch us lose,0
thats rough,0
en tu base caca de mr,0
just trhone this,0
hf next game,0
how about persona ,0
ofc bro,0
i play safe boys,0
